status,employees,firm_age,man_gender,sector
Temporary closed,8,11,Male,Manufacturing
Temporary closed,5,7,Male,Manufacturing
Temporary closed,6,26,Male,Manufacturing
Temporary closed,5,10,Male,Manufacturing
Temporary closed,6,9,Male,Manufacturing
Temporary closed,5,18,Male,Manufacturing
Temporary closed,8,14,Male,Manufacturing
Temporary closed,6,11,Male,Manufacturing
Temporary closed,5,4,Female,Other Services
Temporary closed,10,5,Male,Retail
Open,21,5,Male,Manufacturing
Temporary closed,5,5,Female,Other Services
Temporary closed,10,20,Male,Other Services
Temporary closed,9,19,Male,Manufacturing
Temporary closed,5,18,Male,Retail
Temporary closed,8,9,Male,Other Services
Temporary closed,20,8,Male,Manufacturing
Permenant closed,6,8,Male,Other Services
Temporary closed,9,6,Male,Other Services
Permenant closed,5,5,Male,Retail
Temporary closed,5,4,Male,Manufacturing
Temporary closed,6,20,Male,Retail
Permenant closed,8,9,Male,Retail
Temporary closed,6,18,Male,Manufacturing
Permenant closed,6,30,Male,Manufacturing
Temporary closed,8,3,Male,Manufacturing
Temporary closed,6,18,Male,Other Services
Temporary closed,25,28,Male,Manufacturing
Temporary closed,8,10,Male,Other Services
Temporary closed,7,23,Male,Other Services
Open,5,4,Male,Retail
Temporary closed,5,4,Male,Other Services
Temporary closed,5,7,Male,Other Services
Temporary closed,6,4,Male,Other Services
Temporary closed,5,3,Female,Other Services
Temporary closed,5,13,Male,Retail
Temporary closed,35,19,Male,Other Services
Temporary closed,19,4,Male,Other Services
Temporary closed,5,18,Male,Manufacturing
Temporary closed,5,18,Male,Manufacturing
Temporary closed,13,20,Male,Manufacturing
Temporary closed,10,20,Male,Other Services
Open,7,31,Male,Retail
Temporary closed,6,24,Female,Retail
Temporary closed,6,14,Male,Manufacturing
Temporary closed,6,11,Male,Manufacturing
Temporary closed,5,19,Male,Other Services
Temporary closed,22,18,Male,Other Services
Open,3,37,Male,Manufacturing
Open,13,28,Male,Manufacturing
Open,5,36,Male,Manufacturing
Open,8,37,Male,Manufacturing
Open,95,77,Male,Other Services
Open,88,36,Male,Manufacturing
Open,135,19,Male,Manufacturing
Open,6,40,Male,Manufacturing
Open,115,41,Male,Manufacturing
Temporary closed,10,35,Male,Manufacturing
Temporary closed,31,32,Male,Manufacturing
Open,130,41,Male,Manufacturing
Open,140,23,Male,Manufacturing
Open,33,29,Male,Other Services
Temporary closed,8,15,Male,Manufacturing
Open,60,29,Male,Manufacturing
Open,20,19,Male,Manufacturing
Open,30,40,Male,Manufacturing
Open,30,28,Male,Manufacturing
Open,6,17,Male,Manufacturing
Open,28,26,Male,Manufacturing
Open,160,19,Male,Manufacturing
Open,12,25,Male,Manufacturing
Open,5,17,Male,Manufacturing
Temporary closed,6,19,Male,Manufacturing
Open,3,19,Female,Manufacturing
Open,4,6,Male,Manufacturing
Permenant closed,6,63,Male,Manufacturing
Open,6,32,Male,Manufacturing
Open,40,39,Male,Manufacturing
Open,5,22,Female,Manufacturing
Open,50,29,Male,Manufacturing
Open,150,21,Male,Manufacturing
Open,179,20,Male,Manufacturing
Open,2,39,Male,Manufacturing
Temporary closed,140,30,Male,Other Services
Open,45,45,Male,Manufacturing
Open,150,57,Male,Manufacturing
Open,7,26,Male,Manufacturing
Open,6,38,Male,Retail
Open,125,33,Male,Manufacturing
Open,30,26,Male,Manufacturing
Open,28,24,Male,Retail
Open,35,49,Male,Other Services
Temporary closed,186,23,Male,Retail
Open,8,18,Male,Retail
Open,30,34,Male,Retail
Open,40,20,Female,Other Services
Open,25,24,Male,Retail
Open,68,34,Female,Retail
Open,108,25,Male,Other Services
Open,10,31,Male,Retail
Open,16,31,Male,Other Services
Open,18,30,Female,Retail
Open,14,63,Male,Retail
Open,17,76,Male,Retail
Open,28,24,Male,Retail
Open,6,20,Male,Manufacturing
Open,3,60,Male,Retail
Open,17,23,Female,Other Services
Open,135,26,Male,Other Services
Temporary closed,8,15,Male,Other Services
Open,163,35,Male,Other Services
Open,245,22,Male,Manufacturing
Open,57,27,Male,Other Services
Temporary closed,18,33,Male,Retail
Temporary closed,11,39,Male,Other Services
Open,8,21,Male,Other Services
Open,6,30,Female,Other Services
Open,90,94,Male,Other Services
Open,6,39,Male,Retail
Temporary closed,132,17,Male,Other Services
Open,150,57,Male,Other Services
Temporary closed,80,32,Male,Retail
Open,5,16,Male,Manufacturing
Temporary closed,3,10,Male,Retail
Open,12,16,Male,Manufacturing
Open,8,39,Male,Manufacturing
Temporary closed,5,37,Male,Manufacturing
Open,7,40,Male,Retail
Open,12,17,Male,Manufacturing
Temporary closed,25,32,Male,Other Services
Temporary closed,10,17,Female,Manufacturing
Open,10,21,Female,Other Services
Open,20,8,Male,Other Services
Open,114,27,Male,Other Services
Open,32,23,Male,Manufacturing
Open,30,80,Male,Manufacturing
Open,32,10,Female,Manufacturing
Open,160,13,Male,Manufacturing
Temporary closed,16,33,Female,Manufacturing
Open,45,22,Male,Manufacturing
Open,6,27,Male,Other Services
Open,12,18,Male,Manufacturing
Open,7,17,Male,Retail
Open,65,23,Male,Other Services
Temporary closed,70,30,Male,Manufacturing
Open,62,54,Male,Manufacturing
Open,117,44,Male,Manufacturing
Open,15,5,Male,Manufacturing
Open,120,19,Male,Manufacturing
Open,120,92,Male,Manufacturing
Open,90,33,Male,Manufacturing
Open,100,28,Male,Retail
Open,170,21,Male,Manufacturing
Open,90,6,Male,Manufacturing
Open,157,9,Female,Manufacturing
Temporary closed,12,25,Male,Other Services
Open,70,62,Male,Retail
Open,6,32,Female,Retail
Temporary closed,4,6,Male,Other Services
Open,16,24,Male,Retail
Permenant closed,75,65,Male,Manufacturing
Open,5,16,Female,Retail
Open,12,25,Male,Other Services
Open,8,17,Male,Retail
Open,5,13,Male,Retail
Open,5,42,Female,Retail
Open,12,8,Male,Retail
Temporary closed,5,59,Female,Retail
Open,22,21,Male,Retail
Open,10,17,Male,Other Services
Open,17,30,Male,Other Services
Open,12,25,Male,Other Services
Open,16,6,Male,Other Services
Open,22,10,Male,Other Services
Open,6,29,Male,Other Services
Open,24,61,Male,Retail
Open,5,17,Male,Retail
Open,25,100,Male,Retail
Open,18,15,Male,Retail
Open,4,9,Male,Retail
Open,16,13,Male,Other Services
Open,7,20,Male,Retail
Open,60,27,Female,Retail
Open,32,25,Female,Retail
Open,22,14,Male,Retail
Temporary closed,188,15,Female,Retail
Temporary closed,133,12,Male,Other Services
Temporary closed,3,17,Male,Other Services
Open,10,27,Male,Other Services
Temporary closed,30,19,Male,Other Services
Temporary closed,10,10,Female,Other Services
Open,9,11,Male,Other Services
Open,10,17,Male,Manufacturing
Open,6,24,Female,Other Services
Open,13,17,Male,Other Services
Open,6,14,Female,Other Services
Temporary closed,5,35,Male,Other Services
Open,9,14,Female,Other Services
Open,5,17,Female,Other Services
Open,9,35,Male,Other Services
Permenant closed,25,7,Male,Other Services
Open,16,18,Male,Other Services
Open,40,15,Male,Other Services
Open,25,36,Male,Other Services
Open,80,14,Male,Retail
Temporary closed,50,21,Male,Other Services
Open,50,69,Male,Other Services
Open,39,13,Male,Other Services
Open,15,19,Male,Other Services
Temporary closed,5,21,Male,Other Services
Open,20,94,Female,Other Services
Open,32,71,Male,Other Services
Open,80,18,Male,Other Services
Temporary closed,12,19,Male,Other Services
Temporary closed,11,22,Male,Other Services
Open,6,27,Male,Other Services
Open,15,38,Male,Other Services
Temporary closed,50,22,Male,Other Services
Open,40,26,Male,Other Services
Open,15,12,Male,Other Services
Permenant closed,19,20,Male,Other Services
Open,20,48,Male,Other Services
Open,20,9,Male,Other Services
Open,190,12,Male,Other Services
Open,200,12,Male,Other Services
Open,20,44,Male,Other Services
Open,7,56,Male,Manufacturing
Temporary closed,7,29,Male,Other Services
Temporary closed,9,27,Male,Other Services
Open,8,35,Male,Other Services
Open,8,36,Male,Manufacturing
Open,5,33,Male,Manufacturing
Open,6,10,Male,Manufacturing
Open,7,29,Male,Manufacturing
Open,5,23,Male,Other Services
Open,15,22,Male,Manufacturing
Open,12,13,Male,Manufacturing
Open,6,26,Male,Retail
Open,5,28,Male,Manufacturing
Open,5,14,Male,Manufacturing
Open,8,8,Male,Other Services
Open,15,13,Male,Manufacturing
Open,14,35,Male,Other Services
Open,20,36,Male,Retail
Open,48,36,Male,Manufacturing
Open,14,20,Male,Manufacturing
Open,10,8,Male,Manufacturing
Open,14,21,Male,Manufacturing
Open,70,35,Male,Manufacturing
Open,31,12,Female,Other Services
Open,16,81,Female,Other Services
Open,27,50,Male,Manufacturing
Open,30,37,Male,Manufacturing
Open,9,30,Male,Manufacturing
Open,54,50,Female,Manufacturing
Open,44,4,Male,Manufacturing
Open,8,21,Male,Manufacturing
Open,60,20,Male,Manufacturing
Open,18,26,Female,Manufacturing
Open,45,50,Male,Manufacturing
Open,23,46,Male,Manufacturing
Open,30,75,Male,Manufacturing
Open,6,42,Male,Manufacturing
Open,180,19,Male,Manufacturing
Open,190,33,Male,Manufacturing
Open,240,37,Male,Other Services
Open,40,50,Male,Manufacturing
Open,200,15,Male,Manufacturing
Open,28,16,Male,Other Services
Open,31,37,Male,Manufacturing
Open,191,33,Male,Manufacturing
Temporary closed,5,35,Male,Manufacturing
Open,180,86,Male,Manufacturing
Open,120,44,Male,Manufacturing
Open,120,46,Male,Manufacturing
Open,25,46,Male,Other Services
Open,175,9,Male,Other Services
Open,170,94,Male,Manufacturing
Open,122,36,Male,Manufacturing
Open,200,65,Female,Manufacturing
Open,207,43,Male,Manufacturing
Temporary closed,40,19,Male,Other Services
Open,117,13,Male,Manufacturing
Open,174,38,Female,Manufacturing
Open,14,43,Male,Manufacturing
Open,150,53,Male,Manufacturing
Open,111,50,Female,Manufacturing
Open,200,28,Female,Manufacturing
Open,193,51,Male,Manufacturing
Open,65,37,Male,Manufacturing
Open,75,41,Male,Manufacturing
Open,200,26,Male,Manufacturing
Open,163,46,Female,Manufacturing
Open,120,51,Male,Other Services
Open,27,34,Male,Retail
Open,60,43,Female,Retail
Open,34,10,Male,Retail
Open,25,9,Male,Retail
Open,22,42,Male,Retail
Open,31,28,Male,Retail
Open,96,24,Male,Retail
Open,28,25,Male,Retail
Open,29,23,Male,Retail
Open,30,9,Male,Retail
Open,17,18,Male,Retail
Open,24,18,Male,Retail
Open,17,13,Male,Retail
Temporary closed,10,40,Male,Other Services
Open,19,1,Male,Retail
Open,108,20,Male,Retail
Open,153,35,Female,Manufacturing
Open,15,41,Male,Other Services
Open,23,38,Male,Manufacturing
Open,200,54,Male,Manufacturing
Open,147,33,Female,Manufacturing
Open,170,43,Male,Manufacturing
Open,7,46,Male,Other Services
Open,8,19,Male,Manufacturing
Open,25,43,Male,Other Services
Open,40,43,Male,Other Services
Temporary closed,38,43,Male,Other Services
Open,108,38,Male,Manufacturing
Open,21,11,Male,Retail
Open,30,46,Male,Manufacturing
Open,17,41,Male,Manufacturing
Open,250,41,Male,Manufacturing
Open,214,39,Female,Manufacturing
Open,112,14,Male,Retail
Open,176,37,Male,Retail
Open,250,53,Male,Manufacturing
Open,25,32,Male,Manufacturing
Open,11,36,Female,Manufacturing
Open,27,10,Male,Retail
Open,50,36,Female,Manufacturing
Open,35,14,Male,Retail
Open,210,39,Male,Manufacturing
Open,35,10,Female,Retail
Open,40,20,Female,Retail
Open,39,22,Male,Retail
Open,50,8,Female,Retail
Open,25,25,Male,Retail
Open,15,27,Male,Retail
Open,63,11,Male,Retail
Open,49,45,Male,Manufacturing
Open,40,36,Male,Manufacturing
Open,19,16,Female,Retail
Open,22,12,Male,Retail
Open,57,22,Male,Retail
Open,27,33,Male,Retail
Open,70,29,Male,Manufacturing
Temporary closed,11,30,Male,Other Services
Open,13,47,Female,Manufacturing
Temporary closed,108,35,Male,Other Services
Open,100,34,Male,Manufacturing
Temporary closed,9,16,Male,Other Services
Temporary closed,7,28,Male,Other Services
Open,110,15,Male,Manufacturing
Open,90,35,Male,Manufacturing
Open,72,30,Male,Manufacturing
Open,30,17,Male,Manufacturing
Open,60,26,Male,Manufacturing
Open,40,40,Female,Manufacturing
Open,18,41,Male,Other Services
Open,5,20,Male,Other Services
Open,16,26,Male,Manufacturing
Open,51,25,Male,Manufacturing
Open,100,12,Male,Other Services
Open,38,30,Female,Manufacturing
Open,24,18,Male,Retail
Open,32,24,Male,Retail
Temporary closed,13,36,Male,Other Services
Open,60,9,Male,Other Services
Open,98,30,Male,Manufacturing
Open,103,21,Male,Manufacturing
Open,120,29,Male,Manufacturing
Open,50,2,Male,Other Services
Open,13,9,Male,Retail
Open,23,12,Male,Retail
Temporary closed,250,28,Male,Other Services
Open,196,20,Male,Manufacturing
Open,209,17,Male,Other Services
Open,25,23,Male,Other Services
Open,6,60,Male,Manufacturing
Open,14,30,Male,Other Services
Open,102,13,Female,Other Services
Open,55,8,Male,Other Services
Open,30,8,Female,Other Services
Open,27,25,Male,Manufacturing
Open,24,14,Male,Other Services
Open,201,20,Female,Other Services
Open,30,1,Male,Retail
Open,59,23,Male,Manufacturing
Open,113,37,Male,Manufacturing
Open,25,23,Male,Manufacturing
Open,39,19,Male,Manufacturing
Open,12,36,Male,Manufacturing
Open,16,18,Male,Other Services
Open,72,22,Male,Manufacturing
Open,230,45,Male,Manufacturing
Open,7,20,Male,Other Services
Open,115,20,Male,Manufacturing
Open,40,15,Male,Manufacturing
Open,120,19,Female,Manufacturing
Open,10,19,Male,Retail
Open,50,11,Male,Other Services
Open,180,22,Male,Manufacturing
Open,20,28,Female,Manufacturing
Open,186,19,Male,Manufacturing
Open,26,19,Male,Other Services
Open,125,20,Male,Manufacturing
Open,62,24,Male,Manufacturing
Open,5,10,Male,Retail
Open,200,8,Male,Manufacturing
Open,60,34,Male,Manufacturing
Open,30,20,Male,Manufacturing
Open,250,30,Male,Other Services
Open,130,19,Male,Manufacturing
Open,8,33,Female,Manufacturing
Open,100,39,Female,Retail
Open,210,80,Male,Retail
Open,160,8,Male,Retail
Open,6,19,Male,Manufacturing
Open,11,27,Male,Manufacturing
Open,7,33,Male,Other Services
Open,36,29,Male,Manufacturing
Open,9,3,Female,Retail
Open,35,9,Male,Manufacturing
Open,185,18,Male,Manufacturing
Open,12,10,Female,Manufacturing
Open,25,13,Male,Manufacturing
Open,11,18,Male,Manufacturing
Open,35,16,Male,Manufacturing
Open,5,26,Male,Manufacturing
Open,8,18,Male,Other Services
Open,16,9,Male,Retail
Open,27,45,Male,Manufacturing
Open,30,16,Female,Manufacturing
Open,12,33,Male,Other Services
Open,15,18,Male,Manufacturing
Open,35,16,Male,Retail
Open,25,15,Male,Other Services
Open,7,4,Male,Manufacturing
Open,8,6,Male,Other Services
Open,4,6,Female,Manufacturing
Open,5,15,Male,Other Services
Open,8,6,Female,Retail
Open,45,12,Male,Manufacturing
Open,13,24,Male,Manufacturing
Open,15,25,Male,Manufacturing
Open,5,7,Male,Retail
Open,17,6,Male,Manufacturing
Open,2,3,Male,Other Services
Open,21,12,Male,Other Services
Open,12,9,Female,Other Services
Open,5,7,Male,Other Services
Open,15,12,Male,Other Services
Open,12,7,Male,Manufacturing
Open,6,7,Male,Retail
Temporary closed,166,8,Male,Other Services
Open,15,8,Male,Other Services
Open,10,9,Female,Other Services
Open,5,9,Male,Other Services
Open,6,7,Female,Other Services
Open,28,8,Male,Manufacturing
Open,18,7,Female,Manufacturing
Open,20,9,Male,Other Services
Open,6,9,Male,Retail
Open,9,11,Male,Other Services
Open,130,20,Male,Other Services
Open,21,31,Male,Manufacturing
Open,6,10,Male,Retail
Open,44,25,Female,Manufacturing
Open,230,27,Male,Manufacturing
Open,25,24,Female,Retail
Open,35,7,Male,Manufacturing
Open,7,21,Male,Retail
Open,152,12,Male,Manufacturing
Open,10,23,Male,Manufacturing
Open,170,12,Male,Manufacturing
Open,20,12,Male,Manufacturing
Open,50,10,Male,Manufacturing
Open,7,83,Male,Manufacturing
Temporary closed,8,22,Male,Other Services
Open,25,11,Male,Manufacturing
Temporary closed,15,16,Male,Other Services
Open,23,7,Male,Manufacturing
Open,20,14,Male,Other Services
Open,20,13,Male,Other Services
Open,137,4,Male,Retail
Open,14,15,Male,Other Services
Open,25,14,Male,Manufacturing
Open,233,10,Male,Retail
Open,128,7,Male,Retail
Open,12,15,Female,Manufacturing
Open,10,15,Male,Manufacturing
Open,21,9,Male,Manufacturing
Open,64,15,Male,Manufacturing
Open,92,2,Female,Other Services
Open,5,13,Male,Retail
Open,7,28,Male,Other Services
Temporary closed,20,7,Male,Other Services
Open,6,2,Male,Retail
Open,5,18,Male,Manufacturing
Open,38,17,Male,Manufacturing
Open,35,46,Male,Manufacturing
Open,54,18,Male,Manufacturing
Open,65,22,Female,Manufacturing
Open,140,42,Male,Manufacturing
Open,95,36,Male,Manufacturing
Open,36,43,Male,Other Services
Open,40,50,Male,Manufacturing
Open,180,53,Male,Manufacturing
Open,10,43,Male,Manufacturing
Open,2,39,Male,Retail
Open,7,39,Male,Retail
Open,85,51,Male,Manufacturing
Open,130,19,Male,Manufacturing
Open,7,17,Male,Retail
Open,17,15,Male,Retail
Open,26,24,Male,Other Services
Open,1,35,Male,Retail
Open,95,39,Male,Retail
Open,11,31,Male,Retail
Open,250,33,Male,Manufacturing
Open,15,11,Male,Manufacturing
Open,140,49,Male,Manufacturing
Open,6,48,Male,Manufacturing
Open,70,11,Female,Manufacturing
Temporary closed,5,16,Male,Manufacturing
Open,50,6,Female,Manufacturing
Open,130,17,Male,Retail
Open,43,36,Male,Manufacturing
Open,8,32,Female,Manufacturing
Open,6,32,Male,Manufacturing
Open,70,16,Male,Other Services
Open,130,10,Male,Other Services
Open,15,28,Male,Retail
Open,6,32,Male,Manufacturing
Open,10,29,Male,Manufacturing
Open,20,16,Male,Manufacturing
Open,10,22,Female,Manufacturing
Open,7,32,Female,Retail
Open,10,8,Male,Manufacturing
Open,18,32,Male,Manufacturing
Open,6,5,Female,Other Services
Open,8,22,Male,Manufacturing
Open,8,31,Male,Manufacturing
Open,6,6,Female,Other Services
Open,12,37,Female,Manufacturing
Open,23,14,Male,Manufacturing
Open,40,29,Male,Other Services
Open,8,25,Male,Manufacturing
Temporary closed,7,8,Male,Manufacturing
Open,10,38,Male,Manufacturing
Open,10,49,Male,Retail
Open,12,30,Male,Other Services
Open,15,11,Male,Other Services
Open,35,5,Male,Retail
Open,25,12,Male,Other Services
Open,6,33,Male,Manufacturing
Open,7,13,Male,Other Services
Open,8,36,Male,Manufacturing
Open,5,5,Male,Other Services
Open,7,27,Male,Retail
Open,8,5,Male,Manufacturing
Open,7,16,Male,Retail
Open,19,2,Male,Manufacturing
Open,24,16,Male,Manufacturing
Open,10,13,Male,Manufacturing
Open,20,15,Male,Manufacturing
Open,10,19,Female,Manufacturing
Open,15,13,Male,Manufacturing
Open,5,58,Male,Other Services
Open,30,17,Male,Other Services
Open,7,17,Male,Manufacturing
Open,10,14,Male,Manufacturing
Open,5,21,Male,Other Services
Open,6,22,Male,Manufacturing
Open,5,20,Male,Retail
Open,12,33,Female,Manufacturing
Open,7,22,Male,Other Services
Open,6,22,Female,Manufacturing
Open,8,13,Male,Other Services
Open,7,10,Female,Retail
Open,7,9,Male,Other Services
Open,12,5,Male,Manufacturing
Open,2,4,Female,Manufacturing
Open,6,5,Male,Other Services
Open,10,4,Female,Retail
Open,8,16,Male,Manufacturing
Open,28,4,Male,Other Services
Open,6,2,Male,Retail
Open,23,16,Male,Other Services
Open,30,4,Male,Other Services
Open,25,4,Male,Manufacturing
Open,6,5,Female,Manufacturing
Open,20,3,Female,Other Services
Open,3,4,Male,Other Services
Open,110,20,Male,Other Services
Open,12,2,Male,Manufacturing
Open,18,4,Female,Manufacturing
Open,10,8,Male,Retail
Open,220,3,Male,Manufacturing
Open,6,3,Male,Manufacturing
Open,12,20,Male,Other Services
Permenant closed,5,16,Male,Retail
Open,5,2,Male,Other Services
Open,30,22,Male,Manufacturing
Open,7,2,Male,Other Services
Open,5,4,Female,Other Services
Temporary closed,19,2,Male,Other Services
Open,7,2,Male,Other Services
Open,7,5,Male,Retail
Open,9,3,Male,Manufacturing
Open,16,3,Male,Other Services
Open,75,2,Male,Manufacturing
Open,50,11,Male,Other Services
Open,170,3,Male,Other Services
Open,4,2,Male,Other Services
Open,7,2,Male,Other Services
Open,50,1,Male,Retail
Open,16,29,Male,Manufacturing
Open,5,1,Female,Manufacturing
Open,10,1,Male,Other Services
Open,20,26,Male,Other Services
Open,5,11,Female,Retail
Open,30,10,Male,Other Services
Open,23,16,Female,Other Services
Open,7,23,Male,Manufacturing
Open,5,30,Male,Manufacturing
Open,22,15,Male,Other Services
Open,9,10,Male,Other Services
Temporary closed,4,22,Male,Retail
Open,250,30,Male,Other Services
Open,46,21,Male,Manufacturing
Open,5,34,Male,Retail
Open,79,18,Male,Manufacturing
Open,10,30,Male,Retail
Open,22,35,Male,Retail
Open,40,31,Male,Manufacturing
Open,40,9,Male,Manufacturing
Open,17,27,Male,Other Services
Open,8,25,Male,Manufacturing
Open,6,21,Male,Other Services
Open,5,16,Male,Retail
Open,20,7,Male,Other Services
Open,9,14,Male,Manufacturing
Open,5,18,Male,Retail
Open,62,26,Male,Retail
Open,10,37,Male,Retail
Open,2,12,Male,Retail
Open,3,24,Male,Retail
Open,4,15,Male,Retail
Open,5,40,Male,Other Services
Open,7,7,Male,Manufacturing
Open,12,17,Female,Manufacturing
Open,17,25,Male,Manufacturing
Open,17,16,Female,Retail
Open,5,7,Female,Other Services
Open,9,48,Male,Other Services
Open,11,16,Male,Manufacturing
Open,50,13,Male,Manufacturing
Open,46,28,Male,Manufacturing
Open,15,10,Male,Other Services
Open,3,29,Male,Retail
Open,5,40,Female,Retail
Open,35,41,Female,Manufacturing
Open,49,27,Male,Retail
Open,12,36,Male,Retail
Open,35,17,Male,Manufacturing
Open,11,25,Female,Manufacturing
Open,16,16,Male,Manufacturing
Open,9,38,Male,Manufacturing
Open,16,17,Female,Manufacturing
Open,40,52,Male,Manufacturing
Open,6,12,Male,Manufacturing
Open,15,31,Male,Retail
Open,12,48,Male,Retail
Open,15,28,Male,Retail
Open,10,5,Male,Other Services
Open,12,36,Male,Retail
Open,8,6,Male,Manufacturing
Open,10,9,Female,Manufacturing
Open,64,12,Male,Retail
Open,27,15,Female,Manufacturing
Open,5,19,Male,Other Services
Open,19,15,Male,Manufacturing
Open,5,5,Female,Retail
Open,18,68,Male,Manufacturing
Open,6,23,Male,Other Services
Open,34,19,Male,Manufacturing
Open,25,27,Male,Manufacturing
Open,13,5,Female,Other Services
Open,14,22,Male,Retail
Open,4,8,Female,Retail
Open,5,11,Male,Other Services
Open,5,39,Male,Other Services
Open,11,6,Male,Other Services
Open,7,6,Male,Other Services
Open,35,31,Male,Other Services
Open,16,6,Male,Other Services
Open,15,23,Male,Manufacturing
Open,20,18,Male,Manufacturing
Open,12,46,Female,Retail
Open,14,29,Male,Manufacturing
Open,240,47,Female,Other Services
Open,12,33,Male,Manufacturing
Open,15,6,Male,Manufacturing
Open,13,23,Female,Other Services
Open,18,24,Male,Manufacturing
Open,20,4,Male,Manufacturing
Open,17,23,Male,Other Services
Open,14,10,Male,Other Services
Open,17,40,Male,Retail
Open,14,5,Male,Retail
Open,11,23,Male,Manufacturing
Open,7,37,Female,Retail
Open,20,20,Male,Manufacturing
Open,6,38,Male,Manufacturing
Open,35,32,Male,Manufacturing
Open,31,64,Male,Manufacturing
Open,65,16,Female,Other Services
Open,65,31,Male,Retail
Permenant closed,5,7,Male,Other Services
Open,10,22,Male,Other Services
Open,9,7,Male,Manufacturing
Open,5,31,Male,Retail
Open,14,26,Male,Manufacturing
Open,16,31,Male,Manufacturing
Open,10,18,Male,Manufacturing
Open,22,62,Male,Manufacturing
Temporary closed,5,29,Male,Manufacturing
Open,7,29,Male,Other Services
Open,45,40,Male,Manufacturing
Open,130,30,Male,Manufacturing
Open,6,27,Male,Manufacturing
Open,11,20,Female,Manufacturing
Open,3,23,Male,Manufacturing
Open,140,20,Male,Manufacturing
Open,20,30,Female,Manufacturing
Open,2,73,Female,Manufacturing
Open,40,72,Male,Manufacturing
Open,15,8,Male,Manufacturing
Open,6,19,Male,Manufacturing
Open,27,29,Male,Other Services
Open,12,39,Male,Other Services
Open,6,36,Male,Manufacturing
Open,8,47,Male,Manufacturing
Open,6,20,Male,Manufacturing
Open,15,47,Male,Manufacturing
Open,2,18,Male,Other Services
Open,10,19,Male,Other Services
Open,11,27,Male,Manufacturing
Open,35,26,Male,Manufacturing
Open,7,33,Male,Retail
Open,6,30,Male,Manufacturing
Permenant closed,5,9,Male,Other Services
Open,8,26,Male,Other Services
Open,41,20,Male,Other Services
Open,8,19,Male,Manufacturing
Open,5,9,Male,Other Services
Open,6,38,Male,Other Services
Open,7,23,Male,Other Services
Open,11,32,Male,Other Services
Open,10,31,Male,Other Services
Open,18,16,Male,Other Services
Open,5,17,Male,Other Services
Open,6,41,Male,Other Services
Open,6,18,Male,Manufacturing
Open,12,28,Male,Other Services
Open,4,11,Male,Retail
Open,6,13,Male,Retail
Open,11,26,Male,Manufacturing
Open,3,24,Male,Retail
Open,10,27,Male,Retail
Open,3,27,Male,Retail
Open,3,18,Male,Retail
Open,93,19,Male,Retail
Open,5,42,Male,Retail
Open,110,17,Male,Retail
Open,29,30,Male,Retail
Open,6,26,Male,Retail
Open,9,25,Male,Retail
Open,3,24,Female,Retail
Open,9,36,Male,Retail
Open,17,36,Male,Retail
Open,10,39,Male,Retail
Open,8,15,Male,Retail
Open,2,30,Male,Retail
Open,10,37,Male,Manufacturing
Open,18,19,Male,Other Services
Open,1,37,Male,Other Services
Open,7,38,Male,Retail
Open,10,56,Male,Other Services
Open,22,41,Female,Retail
Open,5,22,Male,Retail
Open,2,35,Female,Retail
Open,4,27,Male,Retail
Temporary closed,45,34,Male,Other Services
Temporary closed,71,37,Female,Other Services
Open,20,35,Female,Other Services
Permenant closed,6,4,Male,Other Services
Open,35,22,Male,Other Services
Temporary closed,17,21,Male,Other Services
Open,15,18,Male,Other Services
Open,11,26,Male,Other Services
Open,6,28,Female,Other Services
Open,14,28,Male,Manufacturing
Open,10,24,Male,Other Services
Open,6,17,Male,Other Services
Open,36,4,Male,Other Services
Open,7,13,Male,Retail
Open,5,37,Male,Manufacturing
Open,41,49,Male,Manufacturing
Open,65,18,Male,Retail
Open,32,27,Male,Manufacturing
Open,35,33,Male,Other Services
Open,70,31,Male,Manufacturing
Open,25,35,Male,Manufacturing
Open,100,20,Male,Manufacturing
Open,60,28,Male,Retail
Open,35,21,Male,Manufacturing
Open,5,71,Male,Manufacturing
Open,8,32,Male,Manufacturing
Permenant closed,14,24,Male,Retail
Open,40,9,Female,Other Services
Open,12,64,Male,Manufacturing
Open,70,36,Male,Manufacturing
Open,8,36,Male,Manufacturing
Open,8,20,Male,Other Services
Open,15,14,Male,Other Services
Open,93,53,Male,Retail
Open,160,39,Male,Other Services
Open,22,24,Male,Retail
Open,38,21,Female,Manufacturing
Open,151,34,Male,Manufacturing
Open,65,16,Male,Other Services
Open,70,28,Female,Retail
Open,7,26,Male,Manufacturing
Open,60,54,Male,Retail
Open,130,24,Male,Other Services
Open,30,10,Male,Other Services
Open,50,12,Male,Manufacturing
Open,16,59,Male,Manufacturing
Open,5,41,Female,Manufacturing
Open,35,13,Male,Retail
Open,20,16,Male,Manufacturing
Open,14,41,Male,Manufacturing
Open,60,30,Male,Other Services
Open,7,13,Male,Other Services
Open,220,38,Male,Other Services
Open,7,25,Male,Manufacturing
Temporary closed,5,30,Male,Other Services
Open,53,76,Male,Retail
Open,150,38,Male,Other Services
Open,13,27,Male,Other Services
Open,7,61,Male,Retail
Open,25,15,Male,Other Services
Open,7,18,Male,Manufacturing
Open,70,30,Male,Manufacturing
Open,6,19,Male,Retail
Temporary closed,130,34,Male,Other Services
Open,50,20,Male,Manufacturing
